"Form","Class","Number","Case","Gender","Meaning"
"familia","I","SG","NOM","F","family"
"familiam","I","SG","ACC","F","family"
"familiae","I","SG","GEN","F","family"
"familiae","I","SG","DAT","F","family"
"familiaː","I","SG","ABL","F","family"
"familiae","I","PL","NOM","F","family"
"familiaːs","I","PL","ACC","F","family"
"familiaːrum","I","PL","GEN","F","family"
"familiiːs","I","PL","DAT","F","family"
"familiiːs","I","PL","ABL","F","family"
"poeːta","I","SG","NOM","M","poet"
"poeːtam","I","SG","ACC","M","poet"
"poeːtae","I","SG","GEN","M","poet"
"poeːtae","I","SG","DAT","M","poet"
"poeːtaː","I","SG","ABL","M","poet"
"poeːtae","I","PL","NOM","M","poet"
"poeːtaːs","I","PL","ACC","M","poet"
"poeːtaːrum","I","PL","GEN","M","poet"
"poeːtiːs","I","PL","DAT","M","poet"
"poeːtiːs","I","PL","ABL","M","poet"
"dominus","II","SG","NOM","M","master"
"dominum","II","SG","ACC","M","master"
"dominiː","II","SG","GEN","M","master"
"dominoː","II","SG","DAT","M","master"
"dominoː","II","SG","ABL","M","master"
"dominiː","II","PL","NOM","M","master"
"dominiː","II","PL","ACC","M","master"
"dominoːs","II","PL","GEN","M","master"
"dominoːrum","II","PL","DAT","M","master"
"dominiːs","II","PL","ABL","M","master"
"bellum","II","SG","NOM","N","war"
"bellum","II","SG","ACC","N","war"
"belliː","II","SG","GEN","N","war"
"belloː","II","SG","DAT","N","war"
"belloː","II","SG","ABL","N","war"
"bella","II","PL","NOM","N","war"
"bella","II","PL","ACC","N","war"
"belloːrum","II","PL","GEN","N","war"
"belliːs","II","PL","DAT","N","war"
"belliːs","II","PL","ABL","N","war"
"duks","III","SG","NOM","M","leader"
"dukem","III","SG","ACC","M","leader"
"dukis","III","SG","GEN","M","leader"
"dukiː","III","SG","DAT","M","leader"
"duke","III","SG","ABL","M","leader"
"dukeːs","III","PL","NOM","M","leader"
"dukeːs","III","PL","ACC","M","leader"
"dukum","III","PL","GEN","M","leader"
"dukibus","III","PL","DAT","M","leader"
"dukibus","III","PL","ABL","M","leader"
"wirtuːs","III","SG","NOM","F","virtue"
"wirtuːtem","III","SG","ACC","F","virtue"
"wirtuːtis","III","SG","GEN","F","virtue"
"wirtuːtiː","III","SG","DAT","F","virtue"
"wirtuːte","III","SG","ABL","F","virtue"
"wirtuːteːs","III","PL","NOM","F","virtue"
"wirtuːteːs","III","PL","ACC","F","virtue"
"wirtuːtum","III","PL","GEN","F","virtue"
"wirtuːtibus","III","PL","DAT","F","virtue"
"wirtuːtibus","III","PL","ABL","F","virtue"
"noːmen","III","SG","NOM","N","name"
"noːmen","III","SG","ACC","N","name"
"noːminis","III","SG","GEN","N","name"
"noːminiː","III","SG","DAT","N","name"
"noːmine","III","SG","ABL","N","name"
"noːmina","III","PL","NOM","N","name"
"noːmina","III","PL","ACC","N","name"
"noːminum","III","PL","GEN","N","name"
"noːminibus","III","PL","DAT","N","name"
"noːminibus","III","PL","ABL","N","name"
"portus","IV","SG","NOM","M","port"
"portum","IV","SG","ACC","M","port"
"portuːs","IV","SG","GEN","M","port"
"portuiː","IV","SG","DAT","M","port"
"portuː","IV","SG","ABL","M","port"
"portuːs","IV","PL","NOM","M","port"
"portuːs","IV","PL","ACC","M","port"
"portuum","IV","PL","GEN","M","port"
"portibus","IV","PL","DAT","M","port"
"portibus","IV","PL","ABL","M","port"
"kornuː","IV","SG","NOM","N","horn"
"kornuː","IV","SG","ACC","N","horn"
"kornuːs","IV","SG","GEN","N","horn"
"kornuiː","IV","SG","DAT","N","horn"
"kornuː","IV","SG","ABL","N","horn"
"kornua","IV","PL","NOM","N","horn"
"kornua","IV","PL","ACC","N","horn"
"kornuum","IV","PL","GEN","N","horn"
"kornibus","IV","PL","DAT","N","horn"
"kornibus","IV","PL","ABL","N","horn"
"dieːs","V","SG","NOM","M","day"
"diem","V","SG","ACC","M","day"
"dieːiː","V","SG","GEN","M","day"
"dieːiː","V","SG","DAT","M","day"
"dieː","V","SG","ABL","M","day"
"dieːs","V","PL","NOM","M","day"
"dieːs","V","PL","ACC","M","day"
"dieːrum","V","PL","GEN","M","day"
"dieːbus","V","PL","DAT","M","day"
"dieːbus","V","PL","ABL","M","day"
"reːs","V","SG","NOM","F","thing"
"rem","V","SG","ACC","F","thing"
"reiː","V","SG","GEN","F","thing"
"reiː","V","SG","DAT","F","thing"
"reːs","V","SG","ABL","F","thing"
"reː","V","PL","NOM","F","thing"
"reː","V","PL","ACC","F","thing"
"reːrum","V","PL","GEN","F","thing"
"reːbus","V","PL","DAT","F","thing"
"reːbus","V","PL","ABL","F","thing"
